rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
r_4264	1	fumarate	reactant	mitochondrion
r_4264	1	NADH	reactant	mitochondrion
r_4264	1	H+	reactant	mitochondrion
r_4264	1	succinate	product	mitochondrion
r_4264	1	NAD	product	mitochondrion
r_0229	1	(sulfur carrier)-SH	reactant	mitochondrion
r_0229	1	dethiobiotin	reactant	mitochondrion
r_0229	2	reduced ferredoxin	reactant	mitochondrion
r_0229	2	S-adenosyl-L-methionine	reactant	mitochondrion
r_0229	2	5'-Deoxyadenosine	product	mitochondrion
r_0229	1	(sulfur carrier)-H	product	mitochondrion
r_0229	1	biotin	product	mitochondrion
r_0229	2	L-methionine	product	mitochondrion
r_0229	2	oxidized ferredoxin	product	mitochondrion
R10159	1	NADPH	reactant	mitochondrion
R10159	2	oxidized ferredoxin	reactant	mitochondrion
R10159	2	reduced ferredoxin	product	mitochondrion
R10159	1	NADP(+)	product	mitochondrion
R10159	1	H+	product	mitochondrion
r_0530	1	heme o	reactant	mitochondrion
r_0530	2	reduced ferredoxin	reactant	mitochondrion
r_0530	1	oxygen	reactant	mitochondrion
r_0530	1	H2O	product	mitochondrion
r_0530	1	heme a	product	mitochondrion
r_0530	2	oxidized ferredoxin	product	mitochondrion
r_0043	1	3-hexaprenyl-4-hydroxybenzoic acid	reactant	mitochondrion
r_0043	0.5	oxygen	reactant	mitochondrion
r_0043	1	3-hexaprenyl-4,5-dihydroxybenzoic acid	product	mitochondrion
R03038	1	ATP	reactant	mitochondrion
R03038	1	L-alanine	reactant	mitochondrion
R03038	1	tRNA(Ala)	reactant	mitochondrion
R03038	1	Ala-tRNA(Ala)	product	mitochondrion
R03038	1	AMP	product	mitochondrion
R03038	1	diphosphate	product	mitochondrion
R03654	1	ATP	reactant	mitochondrion
R03654	1	L-glycine	reactant	mitochondrion
R03654	1	tRNA(Gly)	reactant	mitochondrion
R03654	1	AMP	product	mitochondrion
R03654	1	diphosphate	product	mitochondrion
R03654	1	Gly-tRNA(Gly)	product	mitochondrion
R00220	1	L-serine	reactant	mitochondrion
R00220	1	ammonium	product	mitochondrion
R00220	1	pyruvate	product	mitochondrion
r_0119	1	coenzyme A	reactant	mitochondrion
r_0119	1	Apo-[acyl-carrier-protein]	reactant	mitochondrion
r_0119	1	H2O	reactant	mitochondrion
r_0119	1	ACP1	product	mitochondrion
r_0119	1	adenosine 3',5'-bismonophosphate	product	mitochondrion
R02237	1	7,8-dihydropteroate	reactant	mitochondrion
R02237	1	ATP	reactant	mitochondrion
R02237	1	L-glutamate	reactant	mitochondrion
R02237	1	ADP	product	mitochondrion
R02237	1	dihydrofolic acid	product	mitochondrion
R02237	1	phosphate	product	mitochondrion
R03650	1	ATP	reactant	mitochondrion
R03650	1	L-cysteine	reactant	mitochondrion
R03650	1	tRNA(Cys)	reactant	mitochondrion
R03650	1	AMP	product	mitochondrion
R03650	1	Cys-tRNA(Cys)	product	mitochondrion
R03650	1	diphosphate	product	mitochondrion
R03662	1	ATP	reactant	mitochondrion
R03662	1	L-serine	reactant	mitochondrion
R03662	1	tRNA(Ser)	reactant	mitochondrion
R03662	1	AMP	product	mitochondrion
R03662	1	diphosphate	product	mitochondrion
R03662	1	Ser-tRNA(Ser)	product	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	2	(sulfur carrier)-SH	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	2	iron(2+)	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	1	ISU scaffold protein	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	2	reduced ferredoxin	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	2	(sulfur carrier)-H	product	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	1	ISU scaffold protein-[2Fe-2S]	product	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	2	oxidized ferredoxin	product	mitochondrion
[2Fe-2S] iron-sulfur cluster synthesis	4	H+	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	ISU scaffold protein-[2Fe-2S]	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	2	glutathione	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	2	(Grx5 transfer protein)-SH	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	ATP	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	H2O	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	ISU scaffold protein	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	2	R-S-glutathione	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	(Grx5 transfer protein dimer)-[2Fe-2S]	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	ADP	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer	1	phosphate	product	mitochondrion
