rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
[2Fe-2S] iron-sulfur cluster transfer	1	H+	product	mitochondrion
[2Fe-2S] iron-sulfur cluster release	4	H+	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster release	1	(Grx5 transfer protein dimer)-[2Fe-2S]	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster release	2	R-S-glutathione	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster release	2	(Grx5 transfer protein)-SH	product	mitochondrion
[2Fe-2S] iron-sulfur cluster release	1	[2Fe-2S] iron-sulfur cluster	product	mitochondrion
[2Fe-2S] iron-sulfur cluster release	2	glutathione	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	2	(Grx5 transfer protein dimer)-[2Fe-2S]	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	4	R-S-glutathione	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	1	(Isa saffold complex)-SH	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	2	(Grx5 transfer protein)-SH	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	4	glutathione	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transfer 2	1	(Isa scaffold complex)-(Grx5)2-[2Fe2S]2	product	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	4	H+	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	1	(Isa scaffold complex)-(Grx5)2-[2Fe2S]2	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	2	reduced ferredoxin	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	2	(Grx5 transfer protein)-SH	product	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	1	(Isa scaffold complex)-[4Fe4S]	product	mitochondrion
[4Fe-4S] iron-sulfur cluster reduction	2	oxidized ferredoxin	product	mitochondrion
[4Fe-4S] iron-sulfur cluster release	4	H+	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster release	1	(Isa scaffold complex)-[4Fe4S]	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster release	1	(Isa saffold complex)-SH	product	mitochondrion
[4Fe-4S] iron-sulfur cluster release	1	[4Fe-4S] iron-sulfur cluster	product	mitochondrion
MNXR99587	1	[4Fe-4S] iron-sulfur cluster	reactant	mitochondrion
MNXR99587	1	[3Fe-4S] iron-sulfur cluster	product	mitochondrion
MNXR99587	1	iron(2+)	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	ATP	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	H2O	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	[2Fe-2S] iron-sulfur cluster	reactant	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	ADP	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	H+	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	phosphate	product	mitochondrion
[2Fe-2S] iron-sulfur cluster transport	1	[2Fe-2S] iron-sulfur cluster	product	cytoplasm
[4Fe-4S] iron-sulfur cluster transport	1	ATP	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	H2O	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	[4Fe-4S] iron-sulfur cluster	reactant	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	ADP	product	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	H+	product	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	phosphate	product	mitochondrion
[4Fe-4S] iron-sulfur cluster transport	1	[4Fe-4S] iron-sulfur cluster	product	cytoplasm
R11143	1	ATP	reactant	mitochondrion
R11143	1	(R)-Lipoate	reactant	mitochondrion
R11143	1	Apoprotein	reactant	mitochondrion
R11143	1	Protein N6-(lipoyl)lysine	product	mitochondrion
R11143	1	AMP	product	mitochondrion
R11143	1	diphosphate	product	mitochondrion
R11593	1	pyruvate	reactant	mitochondrion
R11593	1	2-hydroxyglutarate	reactant	mitochondrion
R11593	1	(R)-lactate	product	mitochondrion
R11593	1	2-oxoglutarate	product	mitochondrion
MNXR97029	1	L-cysteine	reactant	cytoplasm
MNXR97029	1	L-cysteine	product	mitochondrion
MNXR96409_1	1	(R)-carnitine	reactant	cytoplasm
MNXR96409_1	1	propionyl-CoA	reactant	cytoplasm
MNXR96409_1	1	coenzyme A	product	cytoplasm
MNXR96409_1	1	O-propionyl-carnitine	product	cytoplasm
carnitine-acetylcarnithine carrier	1	(R)-carnitine	reactant	mitochondrion
carnitine-acetylcarnithine carrier	1	O-propionyl-carnitine	reactant	cytoplasm
carnitine-acetylcarnithine carrier	1	(R)-carnitine	product	cytoplasm
carnitine-acetylcarnithine carrier	1	O-propionyl-carnitine	product	mitochondrion
MNXR96409_2	1	coenzyme A	reactant	mitochondrion
MNXR96409_2	1	O-propionyl-carnitine	reactant	mitochondrion
MNXR96409_2	1	(R)-carnitine	product	mitochondrion
MNXR96409_2	1	propionyl-CoA	product	mitochondrion
MNXR102418	1	O-propionyl-carnitine	reactant	cytoplasm
MNXR102418	1	O-propionyl-carnitine	product	mitochondrion
MNXR101057	1	L-leucine	reactant	cytoplasm
MNXR101057	1	L-leucine	product	mitochondrion
R02236	1	dihydrofolic acid	reactant	mitochondrion
R02236	1	NADP(+)	reactant	mitochondrion
R02236	1	folate	product	mitochondrion
R02236	1	NADPH	product	mitochondrion
R02236	1	H+	product	mitochondrion
folate transport	1	folate	reactant	cytoplasm
folate transport	1	folate	product	mitochondrion
R00896	1	L-cysteine	reactant	mitochondrion
R00896	1	2-oxoglutarate	reactant	mitochondrion
R00896	1	mercaptopyruvate	product	mitochondrion
R00896	1	L-glutamate	product	mitochondrion
R03105	1	mercaptopyruvate	reactant	mitochondrion
R03105	1	TRX3	reactant	mitochondrion
R03105	1	hydrogen sulfide	product	mitochondrion
R03105	1	pyruvate	product	mitochondrion
R03105	1	TRX3 disulphide	product	mitochondrion
MNXR100494	1	hydrogen sulfide	reactant	cytoplasm
MNXR100494	1	hydrogen sulfide	product	mitochondrion
MNXR137365	1	dethiobiotin	reactant	cytoplasm
MNXR137365	1	dethiobiotin	product	mitochondrion
MNXR96333	1	biotin	reactant	cytoplasm
MNXR96333	1	biotin	product	mitochondrion
MNXR97569	1	5'-Deoxyadenosine	reactant	mitochondrion
r_4280	1	octanoyl-ACP	reactant	mitochondrion
r_4280	1	H+	reactant	mitochondrion
r_4280	1	octanoate (protein bound)	product	mitochondrion
r_4280	1	ACP1	product	mitochondrion
r_4324	1	octanoate (protein bound)	reactant	mitochondrion
r_4324	1	[4Fe-4S] iron-sulfur cluster	reactant	mitochondrion
r_4324	4	H+	reactant	mitochondrion
r_4324	2	oxidized ferredoxin	reactant	mitochondrion
r_4324	2	S-adenosyl-L-methionine	reactant	mitochondrion
r_4324	1	lipoate (protein bound)	product	mitochondrion
r_4324	2	5'-Deoxyadenosine	product	mitochondrion
r_4324	4	iron(3+)	product	mitochondrion
r_4324	2	hydrogen sulfide	product	mitochondrion
r_4324	2	L-methionine	product	mitochondrion
r_4324	2	reduced ferredoxin	product	mitochondrion
2-hydroxyglutarate transport	1	2-hydroxyglutarate	reactant	cytoplasm
2-hydroxyglutarate transport	1	2-hydroxyglutarate	product	mitochondrion
R09541	2	iron(3+)	reactant	mitochondrion
R09541	1	NADPH	reactant	mitochondrion
R09541	2	iron(2+)	product	mitochondrion
R09541	1	NADP(+)	product	mitochondrion
R09541	1	H+	product	mitochondrion
R03652	1	ATP	reactant	mitochondrion
R03652	1	L-glutamine	reactant	mitochondrion
R03652	1	tRNA(Gln)	reactant	mitochondrion
R03652	1	AMP	product	mitochondrion
R03652	1	diphosphate	product	mitochondrion
R03652	1	Gln-tRNA(Gln)	product	mitochondrion
r_0230	1	ATP	reactant	cytoplasm
r_0230	1	biotin	reactant	cytoplasm
r_0230	1	AMP	product	cytoplasm
r_0230	1	diphosphate	product	cytoplasm
r_0230	1	H+	product	cytoplasm
r_0230	1	biotin (protein bound)	product	cytoplasm
MNXR100259	1	L-glutamine	reactant	cytoplasm
MNXR100259	1	L-glutamine	product	mitochondrion
r_0940	1	L-proline	reactant	mitochondrion
r_0940	1	ubiquinone-6	reactant	mitochondrial membrane
r_0940	1	1-pyrroline-5-carboxylate	product	mitochondrion
r_0940	1	ubiquinol-6	product	mitochondrial membrane
R01931_2	1	hydrogen cyanide	reactant	cytoplasm
R01931_2	1	thiosulfate	reactant	cytoplasm
R01931_2	2	H+	product	cytoplasm
R01931_2	1	sulphite	product	cytoplasm
R01931_2	1	thiocyanate	product	cytoplasm
r_0002	1	(R)-lactate	reactant	mitochondrion
r_0002	1	ubiquinone-6	reactant	mitochondrial membrane
r_0002	1	ubiquinol-6	product	mitochondrial membrane
r_0002	1	pyruvate	product	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	ATP	reactant	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	H2O	reactant	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	[3Fe-4S] iron-sulfur cluster	reactant	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	ADP	product	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	H+	product	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	phosphate	product	mitochondrion
[3Fe-4S] iron-sulfur cluster transport	1	[3Fe-4S] iron-sulfur cluster	product	cytoplasm
