NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
PMF [mitochondrion]	H	1	mitochondrion			added for modeling purposes
PMF [mitochondrial intermembrane space]	H	1	mitochondrial intermembrane space]			added for modeling purposes
