rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
r_0439	1.998	ferricytochrome c	reactant	mitochondrial intermembrane space
r_0439	1.2647	PMF	reactant	mitochondrion
r_0439	1	ubiquinol-6	reactant	mitochondrial membrane
r_0439	0.002	oxygen	reactant	mitochondrial intermembrane space
r_0439	1.998	ferrocytochrome c	product	mitochondrial intermembrane space
r_0439	2.5295	PMF	product	mitochondrial intermembrane space
r_0439	1	ubiquinone-6	product	mitochondrial membrane
r_0439	0.002	superoxide	product	mitochondrial intermembrane space
r_0438	1.266	PMF	reactant	mitochondrion
r_0438	0.25	oxygen	reactant	mitochondrion
r_0438	1	ferrocytochrome c	reactant	mitochondrial intermembrane space
r_0438	0.5	H2O	product	mitochondrion
r_0438	1	ferricytochrome c	product	mitochondrial intermembrane space
r_0438	0.633	PMF	product	mitochondrial intermembrane space
r_0226	1	H+	reactant	mitochondrion
r_0226	1	ADP	reactant	mitochondrion
r_0226	1	phosphate	reactant	mitochondrion
r_0226	3	PMF	reactant	mitochondrial intermembrane space
r_0226	1	ATP	product	mitochondrion
r_0226	1	H2O	product	mitochondrion
r_0226	3	PMF	product	mitochondrion
r_1110	1	ATP	reactant	mitochondrion
r_1110	1	ADP	reactant	cytoplasm
r_1110	0.9	PMF	reactant	mitochondrial intermembrane space
r_1110	1	ADP	product	mitochondrion
r_1110	1	ATP	product	cytoplasm
r_1110	0.9	PMF	product	mitochondrion
r_1112	1	2-oxoglutarate	reactant	cytoplasm
r_1112	1	citrate	reactant	mitochondrion
r_1112	0.9	PMF	reactant	mitochondrial intermembrane space
r_1112	1	2-oxoglutarate	product	mitochondrion
r_1112	1	citrate	product	cytoplasm
r_1112	0.9	PMF	product	mitochondrion
r_1118	1	H+	reactant	mitochondrial intermembrane space
r_1118	1	L-aspartate	reactant	mitochondrion
r_1118	1	L-glutamate	reactant	cytoplasm
r_1118	1	PMF	reactant	mitochondrial intermembrane space
r_1118	1	L-aspartate	product	cytoplasm
r_1118	1	L-glutamate	product	mitochondrion
r_1118	1	PMF	product	mitochondrion
r_1118	1	H+	product	mitochondrion
r_1129	1	coenzyme A	reactant	cytoplasm
r_1129	3.6	PMF	reactant	mitochondrion
r_1129	1	coenzyme A	product	mitochondrion
r_1129	3.6	PMF	product	mitochondrial intermembrane space
r_1130	1	CMP	reactant	mitochondrion
r_1130	1	CTP	reactant	cytoplasm
r_1130	1	H+	reactant	mitochondrial intermembrane space
r_1130	1	PMF	reactant	mitochondrial intermembrane space
r_1130	1	CMP	product	cytoplasm
r_1130	1	CTP	product	mitochondrion
r_1130	1	H+	product	mitochondrion
r_1130	1	PMF	product	mitochondrion
r_1131	1	CMP	reactant	mitochondrion
r_1131	1	CTP	reactant	cytoplasm
r_1131	2	H+	reactant	mitochondrial intermembrane space
r_1131	0.2	PMF	reactant	mitochondrial intermembrane space
r_1131	1	CMP	product	cytoplasm
r_1131	1	CTP	product	mitochondrion
r_1131	2	H+	product	mitochondrion
r_1131	0.2	PMF	product	mitochondrion
r_1137	1	H+	reactant	mitochondrial intermembrane space
r_1137	1	(R)-lactate	reactant	mitochondrial intermembrane space
r_1137	0.1	PMF	reactant	mitochondrial intermembrane space
r_1137	1	H+	product	mitochondrion
r_1137	1	(R)-lactate	product	mitochondrion
r_1137	0.1	PMF	product	mitochondrion
r_1151	1	FAD	reactant	cytoplasm
r_1151	2.7	PMF	reactant	mitochondrion
r_1151	1	FAD	product	mitochondrion
r_1151	2.7	PMF	product	mitochondrial intermembrane space
r_1175	1	GDP	reactant	mitochondrion
r_1175	1	GTP	reactant	cytoplasm
r_1175	1	H+	reactant	mitochondrial intermembrane space
r_1175	0.1	PMF	reactant	mitochondrial intermembrane space
r_1175	1	GTP	product	mitochondrion
r_1175	1	GDP	product	cytoplasm
r_1175	1	H+	product	mitochondrion
r_1175	0.1	PMF	product	mitochondrion
r_1179	1	iron(2+)	reactant	cytoplasm
r_1179	1.8	PMF	reactant	mitochondrial intermembrane space
r_1179	1	iron(2+)	product	mitochondrion
r_1179	1.8	PMF	product	mitochondrion
r_1182	1	isopentenyl diphosphate	reactant	cytoplasm
r_1182	2.7	PMF	reactant	mitochondrion
r_1182	1	isopentenyl diphosphate	product	mitochondrion
r_1182	2.7	PMF	product	mitochondrial intermembrane space
r_1194	1	H+	reactant	mitochondrial intermembrane space
r_1194	1	L-glutamate	reactant	cytoplasm
r_1194	0.1	PMF	reactant	mitochondrial intermembrane space
r_1194	1	H+	product	mitochondrion
r_1194	1	L-glutamate	product	mitochondrion
r_1194	0.1	PMF	product	mitochondrion
r_1126	1	citrate	reactant	mitochondrion
r_1126	1	(S)-malate	reactant	cytoplasm
r_1126	1	citrate	product	cytoplasm
r_1126	1	(S)-malate	product	mitochondrion
r_1127	1	phosphoenolpyruvate	reactant	cytoplasm
r_1127	1	citrate	reactant	mitochondrion
r_1127	1	phosphoenolpyruvate	product	mitochondrion
r_1127	1	citrate	product	cytoplasm
r_1128	1	citrate	reactant	cytoplasm
r_1128	1	isocitrate	reactant	mitochondrion
r_1128	1	H+	reactant	mitochondrial intermembrane space
r_1128	1	PMF	reactant	mitochondrial intermembrane space
r_1128	1	citrate	product	mitochondrion
r_1128	1	isocitrate	product	cytoplasm
r_1128	1	H+	product	mitochondrion
r_1128	1	PMF	product	mitochondrion
r_1128_REV	1	citrate	reactant	mitochondrion
r_1128_REV	1	isocitrate	reactant	cytoplasm
r_1128_REV	1	H+	reactant	mitochondrial intermembrane space
r_1128_REV	1	PMF	reactant	mitochondrial intermembrane space
r_1128_REV	1	citrate	product	cytoplasm
r_1128_REV	1	isocitrate	product	mitochondrion
r_1128_REV	1	H+	product	mitochondrion
r_1128_REV	1	PMF	product	mitochondrion
r_1229	1	NAD	reactant	cytoplasm
r_1229	0.9	PMF	reactant	mitochondrion
r_1229	1	NAD	product	mitochondrion
r_1229	0.9	PMF	product	mitochondrial intermembrane space
r_1230	1	NAD	reactant	cytoplasm
r_1230	1	dAMP	reactant	mitochondrion
r_1230	0.9	PMF	reactant	mitochondrial intermembrane space
r_1230	1	NAD	product	mitochondrion
r_1230	1	dAMP	product	cytoplasm
r_1230	0.9	PMF	product	mitochondrion
r_1231	1	AMP	reactant	mitochondrion
r_1231	1	NAD	reactant	cytoplasm
r_1231	0.9	PMF	reactant	mitochondrial intermembrane space
r_1231	1	AMP	product	cytoplasm
r_1231	1	NAD	product	mitochondrion
r_1231	0.9	PMF	product	mitochondrion
r_1232	1	dGMP	reactant	mitochondrion
r_1232	1	NAD	reactant	cytoplasm
r_1232	0.9	PMF	reactant	mitochondrial intermembrane space
r_1232	1	dGMP	product	cytoplasm
r_1232	1	NAD	product	mitochondrion
r_1232	0.9	PMF	product	mitochondrion
r_1237	1	H+	reactant	mitochondrial intermembrane space
r_1237	1	ornithine	reactant	mitochondrion
r_1237	0.1	PMF	reactant	mitochondrial intermembrane space
r_1237	1	H+	product	mitochondrion
r_1237	1	ornithine	product	cytoplasm
r_1237	0.1	PMF	product	mitochondrion
r_1239	1	H+	reactant	mitochondrial intermembrane space
r_1239	1	oxaloacetate	reactant	cytoplasm
r_1239	0.1	PMF	reactant	mitochondrial intermembrane space
r_1239	1	H+	product	mitochondrion
r_1239	1	oxaloacetate	product	mitochondrion
r_1239	0.1	PMF	product	mitochondrion
r_1245	1	H+	reactant	mitochondrial intermembrane space
r_1245	1	phosphate	reactant	cytoplasm
r_1245	0.1	PMF	reactant	mitochondrial intermembrane space
r_1245	1	H+	product	mitochondrion
r_1245	1	phosphate	product	mitochondrion
r_1245	0.1	PMF	product	mitochondrion
r_1574	1	2-isopropylmalate	reactant	mitochondrion
r_1574	1	oxaloacetate	reactant	cytoplasm
r_1574	1	2-isopropylmalate	product	cytoplasm
r_1574	1	oxaloacetate	product	mitochondrion
r_1256	1	S-adenosyl-L-methionine	reactant	cytoplasm
r_1256	0.9	PMF	reactant	mitochondrial intermembrane space
r_1256	1	S-adenosyl-L-methionine	product	mitochondrion
r_1256	0.9	PMF	product	mitochondrion
r_2042	1	S-adenosyl-L-methionine	reactant	cytoplasm
r_2042	1	S-adenosyl-L-homocysteine	reactant	mitochondrion
r_2042	0.9	PMF	reactant	mitochondrial intermembrane space
r_2042	1	S-adenosyl-L-methionine	product	mitochondrion
r_2042	1	S-adenosyl-L-homocysteine	product	cytoplasm
r_2042	0.9	PMF	product	mitochondrion
r_1275	1	FMN	reactant	mitochondrion
r_1275	1	UMP	reactant	mitochondrion
r_1275	1	UTP	reactant	cytoplasm
r_1275	1	H+	reactant	mitochondrial intermembrane space
r_1275	1.9	PMF	reactant	mitochondrial intermembrane space
r_1275	1	FMN	product	cytoplasm
r_1275	1	UMP	product	cytoplasm
r_1275	1	UTP	product	mitochondrion
r_1275	1	H+	product	mitochondrion
r_1275	1.9	PMF	product	mitochondrion
r_1276	2	H+	reactant	mitochondrial intermembrane space
r_1276	1	UTP	reactant	cytoplasm
r_1276	1	UMP	reactant	mitochondrion
r_1276	0.2	PMF	reactant	mitochondrial intermembrane space
r_1276	2	H+	product	mitochondrion
r_1276	1	UTP	product	mitochondrion
r_1276	1	UMP	product	cytoplasm
r_1276	0.2	PMF	product	mitochondrion
MNXR95946	1	L-arginine	reactant	cytoplasm
MNXR95946	1	ornithine	reactant	mitochondrion
MNXR95946	1	L-arginine	product	mitochondrion
MNXR95946	1	ornithine	product	cytoplasm
r_2034	1	H+	reactant	mitochondrial intermembrane space
r_2034	1	pyruvate	reactant	mitochondrial intermembrane space
r_2034	0.1	PMF	reactant	mitochondrial intermembrane space
r_2034	1	H+	product	mitochondrion
r_2034	1	pyruvate	product	mitochondrion
r_2034	0.1	PMF	product	mitochondrion
r_1568	1	2-dehydropantoate	reactant	cytoplasm
r_1568	0.9	PMF	reactant	mitochondrial intermembrane space
r_1568	1	2-dehydropantoate	product	mitochondrion
r_1568	0.9	PMF	product	mitochondrion
r_1585	1	H+	reactant	mitochondrial intermembrane space
r_1585	1	2-oxobutanoate	reactant	cytoplasm
r_1585	0.1	PMF	reactant	mitochondrial intermembrane space
r_1585	1	H+	product	mitochondrion
r_1585	1	2-oxobutanoate	product	mitochondrion
r_1585	0.1	PMF	product	mitochondrion
r_1965	1	ammonium	reactant	cytoplasm
r_1965	0.9	PMF	reactant	mitochondrial intermembrane space
r_1965	1	ammonium	product	mitochondrion
r_1965	0.9	PMF	product	mitochondrion
r_1794	1	formate	reactant	mitochondrion
r_1794	0.9	PMF	reactant	mitochondrial intermembrane space
r_1794	1	formate	product	cytoplasm
r_1794	0.9	PMF	product	mitochondrion
r_2129	1	H+	reactant	mitochondrial intermembrane space
r_2129	1	PMF	reactant	mitochondrial intermembrane space
r_2129	1	H+	product	mitochondrion
r_2129	1	PMF	product	mitochondrion
r_1595	1	(2S)-2-isopropyl-3-oxosuccinate	reactant	cytoplasm
r_1595	1.8	PMF	reactant	mitochondrion
