Cofactor;mmol/gDW D = 0.1 h-1;mmol/gDW D = 0.2 h-1;mmol/gDW D = 0.28 h-1;mmol/gDW D = 0.35 h-1;mmol/gDW D = 0.4 h-1;mmol/gDW Batch
2Fe-2S;1,68E-05;3,01E-05;4,10E-05;2,85E-05;1,73E-05;1,16E-05
3Fe-4S;9,91E-07;1,79E-06;2,58E-06;1,34E-06;1,40E-07;5,64E-06
4Fe-4S;3,14E-05;5,29E-05;7,12E-05;6,40E-05;5,41E-05;6,03E-05
