rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
R02480	1	Cytochrome c	reactant	mitochondrion
R02480	1	Apocytochrome c	product	mitochondrion
R02480	1	ferroheme b	product	mitochondrion
R11528	1	(sulfur carrier)-H	reactant	mitochondrion
R11528	1	L-cysteine	reactant	mitochondrion
R11528	1	(sulfur carrier)-SH	product	mitochondrion
R11528	1	L-alanine	product	mitochondrion
R03661	1	L-proline	reactant	mitochondrion
R03661	1	ATP	reactant	mitochondrion
R03661	1	tRNA(Pro)	reactant	mitochondrion
R03661	1	Pro-tRNA(Pro)	product	mitochondrion
R03661	1	AMP	product	mitochondrion
R03661	1	diphosphate	product	mitochondrion
R04734	1	4a-Hydroxytetrahydrobiopterin	reactant	mitochondrion
R04734	1	Dihydrobiopterin	product	mitochondrion
R04734	1	H2O	product	mitochondrion
R00275_2	2	H+	reactant	mitochondrion
R00275_2	2	superoxide	reactant	mitochondrion
R00275_2	1	hydrogen peroxide	product	mitochondrion
R00275_2	1	oxygen	product	mitochondrion
R00100_2	1	NADH	reactant	mitochondrion
R00100_2	2	Ferricytochrome b5	reactant	mitochondrion
R00100_2	1	NAD	product	mitochondrion
R00100_2	2	Ferrocytochrome b5	product	mitochondrion
R00100_2	1	H+	product	mitochondrion
R00078	4	iron(2+)	reactant	mitochondrion
R00078	4	H+	reactant	mitochondrion
R00078	1	oxygen	reactant	mitochondrion
R00078	4	iron(3+)	product	mitochondrion
R00078	2	H2O	product	mitochondrion
R03352	1	3-hydroxy-2-methylpropanoyl-CoA	reactant	mitochondrion
R03352	1	H2O	reactant	mitochondrion
R03352	1	3-hydroxy-2-methylpropanoate	product	mitochondrion
R03352	1	coenzyme A	product	mitochondrion
R03352	1	H+	product	mitochondrion
R01799	1	CTP	reactant	mitochondrion
R01799	1	phosphatidate	reactant	mitochondrion
R01799	1	diphosphate	product	mitochondrion
R01799	1	H+	product	mitochondrion
R01799	1	CDP-diacylglycerol	product	mitochondrion
R12024_2	1	N-(4-oxoglutarate)-L-cysteinylglycine	reactant	mitochondrion
R12024_2	1	H2O	reactant	mitochondrion
R12024_2	1	2-oxoglutarate	product	mitochondrion
R12024_2	1	L-cysteinylglycine	product	mitochondrion
